question,answer,precision,dpr_answer,rank,filtered_rank,other_dates
when did Charlie Hunnam marry Katharine?,1999-01-01,year,"Charlie Hunnam a screenplay based on a 2011 Rolling Stone article that he optioned about Edgar Valdez Villareal, an American drug lord who ran one of the biggest cartels in Mexico. Another project he has in development is a film about gypsy culture in Britain, which he hopes to direct. He stated that it is a part of English society that's really seldom been explored, but is one of the most colourful and interesting parts of British society. Hunnam met actress Katharine Towne in 1999 when they both auditioned for roles on Dawson's Creek. After dating for three weeks, they married in",69,1,"2022-06-15,2011-07-01"
"when did Leopold IV, Prince of Lippe marry Princess Bertha of?",1901-08-16,day,"Leopold IV, Prince of Lippe Princess Bertha of Hesse-Philippsthal-Barchfeld (1874–1919) on 16 August 1901 in Rotenburg. They had five children. He was married secondly to Princess Anna of Ysenburg and Büdingen (1886–1980) on 26 April 1922 at Büdingen. From this marriage he had one son. Leopold IV, Prince of Lippe Leopold IV, Prince of Lippe (Leopold Julius Bernhard Adalbert Otto Karl Gustav; 30 May 1871 – 30 December 1949) was the final sovereign of the Principality of Lippe. Succeeding to the throne in 1905 he had been governing the state since 1904 as regent. He was born as Count Leopold of Lippe-Biesterfeld in Oberkassel, the",1,1,"1949-07-01,1922-04-26,1871-05-30,1905-07-01,1904-07-01"
"when did Prince Alexandre of Belgium marry Princess Léa, Princess Alexandre of?",1991-03-14,day,"Prince Alexandre of Belgium a crash in front of his home. It has been suggested that the Belgian royal family controlled the official inquiry and avoided any further investigation or consequences. In Debenham, Suffolk, on 14 March 1991 Alexandre married Léa Inga Dora Wolman, who had been twice-divorced. The marriage was kept secret until 1998 because the Prince apparently feared his mother would disapprove. The initial secrecy surrounding this marriage has parallels with his father's wedding to his mother fifty years previously, in 1941. There had been some friction between the children of the first marriage of King Leopold III of Belgium and those",3,1,"1998-07-01,1941-07-01"
"when did Archduchess Maria Isabella, Countess of Trapani marry Prince Francis, Count of?",1850-04-10,day,"Archduchess Maria Isabella of Austria Spain, on 10 April 1850. Maria Isabella and Francis had six children: On 14 July 1901, Maria Isabella died in Lucerne, Switzerland. Archduchess Maria Isabella of Austria Archduchess Maria Isabella of Austria, Princess of Tuscany (21 May 1834 – 14 July 1901), was an Archduchess of Austria and Princess of Tuscany by birth and Countess of Trapani by marriage to her uncle Prince Francis, Count of Trapani. Maria Isabella was born in Florence, Grand Duchy of Tuscany, as the daughter of Leopold II, Grand Duke of Tuscany and his second wife, Princess Maria Antonia of Bourbon-Two Sicilies. Maria Isabella married",2,1,"1834-05-21,1901-07-14"
when did Cornelius Vanderbilt II marry Alice Claypoole?,1867-01-01,year,"Cornelius Vanderbilt II Country Club. On February 4, 1867, he married Alice Claypoole Gwynne (1845–1934), daughter of Abraham Evan Gwynne and Rachel Moore Flagg. The two met at St. Bartholomew's Episcopal Church where both taught Sunday School. Together, they had: A stroke in 1896 compelled him to reduce his active business involvement. He died of a cerebral hemorrhage on September 12, 1899 a few minutes after 6 o'clock AM, at his home, West Fifty-seventh Street, in Manhattan, New York City. On his death in 1899, family leadership passed to his first brother, William Kissam Vanderbilt. His philanthropy had been such that he did",27,1,"1899-09-12,1899-07-01,1896-07-01"
when did Dan Savage marry Terry?,2012-01-01,year,"Dan Savage for two seasons before its cancellation. Savage and his husband, Terry Miller, have one son named D.J., now in his 20s, whom they adopted as an infant. They were married in Vancouver, British Columbia, Canada in 2005. Following the 2012 legalization of same-sex marriage in Washington state, he and Miller were part of the first group of 11 couples to receive Washington state marriage licenses. Savage and Miller were married on December 9, 2012, at Seattle City Hall, opened on Sunday especially for the purpose of hosting the first same-sex weddings in Washington state, with Seattle Mayor Mike McGinn and",7,1,2005-07-01
"when did Walter Montagu Douglas Scott, 5th Duke of Buccleuch marry Charlotte Montagu Douglas Scott, Duchess of?",1829-08-13,day,"Walter Montagu Douglas Scott, 5th Duke of Buccleuch University of Glasgow, a post he held until his death in 1884. He joined the Canterbury Association on 20 May 1848. It was planned to build a town called Buccleuch in his honour near Alford Forest, but this did not eventuate. Buccleuch married Lady Charlotte Anne Thynne, daughter of Thomas Thynne, 2nd Marquess of Bath and the Honourable Isabella Elizabeth Byng, on 13 August 1829 at St George's church, Hanover Square, London. The couple had four sons and three daughters: King George IV spent some days in 1822 as the Duke's guest at Dalkeith Palace, the first visit of a",19,1,"1848-05-20,1884-07-01,1822-07-01"
when did Zhou Xun marry Archie?,2014-01-01,year,"Zhou Xun actress as a synthesis of young Coco Chanel and Ballet Troupe Zizi Jeanmaire. Zhou Xun married American actor Archie Kao on July 16, 2014 on stage after a charity event in Hangzhou, China. Zhou received Hong Kong citizenship under the Quality Migrant Admission Scheme. Zhou Xun Zhou Xun (, born 18 October 1974) is a Chinese actress and singer. She is regarded as one of the Four Dan Actresses of China. She gained international fame for her roles in Suzhou River (2000) and Balzac and the Little Chinese Seamstress (2002). Zhou has won Best Actress honors from Asian Film Awards,",8,1,"2000-07-01,1974-10-18,2002-07-01"
when did Josh Brolin marry Diane?,2004-08-15,day,"Josh Brolin her murdered mother, was the opening film at the first annual Union City International Film Festival in Union City, New Jersey in December 2010. Brolin was married to actress Alice Adair from 1988 until 1994; they have two children. He was engaged to actress Minnie Driver for six months. He married actress Diane Lane on August 15, 2004. Brolin and Lane divorced in 2013. In March 2015, Brolin became engaged to his former assistant and model Kathryn Boyd. The couple married on September 24, 2016 and announced on May 29, 2018 that they are expecting their first child together. Brolin",2,1,"2010-12-01,2013-07-01,2016-09-24,2018-05-29,2015-03-01,2022-01-06"
when did Kathryn Crosby marry Bing?,1957-01-01,year,"Kathryn Crosby but did have a featured role in the courtroom drama Anatomy of a Murder (1959). She also played the part of Mama Bear alongside her husband and children in Goldilocks and co-starred with Jack Lemmon in the comedy Operation Mad Ball (1957), with Tony Curtis in the drama Mister Cory (1957) and as a trapeze artist in The Big Circus (1959). In the mid-1970s, she hosted The Kathryn Crosby Show, a 30-minute local talk-show on KPIX-TV in San Francisco. Husband Bing appeared as a guest occasionally. Since Bing Crosby's death in 1977, she has taken on a few smaller roles",15,1,"1959-07-01,1977-07-01"
when did Bill Hudson marry Cindy?,1982-01-01,year,"Bill Hudson (singer) memoir, Two Versions: The Other Side of Fame and Family, in December 2011. Hudson married actress Goldie Hawn in 1976. Hudson filed for divorce in 1980 and it was finalized two years later. They have two children, Oliver (b 1976) and Kate (b 1979), who were raised by Hawn and Kurt Russell. Hudson would later accuse Hawn of wilfully alienating him from their children. Hudson married Cindy Williams, of Laverne & Shirley fame, in 1982. They have two children. That marriage ended in divorce in 2000. He also has a daughter born in 2006 to a long-term girlfriend. In 2018,",1,1,"2000-07-01,1980-07-01,2011-12-01,1976-07-01,2018-07-01,1976-07-06,1979-07-01,2006-07-01"
when did Joseph E. Stiglitz marry Anya?,2004-10-28,day,"Joseph Stiglitz by Foreign Policy magazine on its list of top global thinkers. In February 2012, he was awarded the Legion of Honor, in the rank of Officer, by the French ambassador in the United States François Delattre. Stiglitz was elected a Foreign Member of the Royal Society (ForMemRS) in 2009. Stiglitz was awarded the 2018 Sydney Peace Prize. Stiglitz married Jane Hannaway in 1978; the couple later divorced. He got married for the third time on October 28, 2004 to Anya Schiffrin, who works at the School of International and Public Affairs at Columbia University. He has four children, Siobhan, Michael,",5,1,"2018-07-01,2012-02-01,1978-07-01,2009-07-01"
when did Grover Cleveland marry Frances?,1886-06-02,day,"Grover Cleveland her mother's permission to correspond with her, and they were soon engaged to be married. On June 2, 1886, Cleveland married Frances Folsom in the Blue Room at the White House. He was the second president to wed while in office, and has been the only president married in the White House. This marriage was unusual, since Cleveland was the executor of Oscar Folsom's estate and had supervised Frances's upbringing after her father's death; nevertheless, the public took no exception to the match. At 21 years, Frances Folsom Cleveland was the youngest First Lady in history, and the public soon",2,1,2001-07-06
when did Ta-Tanisha marry Lee?,1971-01-01,year,"Ta-Tanisha '90s in the city. Currently Ta-Tanisha is part of the Repertory Dance Theater of Los Angeles and is part of a team that is conducting an after school performance program. Ta-Tanisha has also written a play about Biddy Mason, an enslaved African American woman who never learned to read or write; Miz Biddy. The play is currently in development. Since July 10, 1971, she has been married to actor Lee Weaver. They reside in the Bronx and have one child, Leis La-Te, a daughter. The Real Anger Was Backstage an article by Budd Schulberg published in Life Magazine Aug 21,",4,1,2021-08-01
when did Jean Medawar marry Peter?,1937-01-01,year,"Jean Medawar meaning of heuristic, which led to a continued tutorial and lasting friendship. Her family did not want her to marry him because Peter Medawar was of a Lebanese descent and was not financially well-to-do. Her mother asked her, What will you do if you have black babies? Her aunt described Medawar as having 'no background, no money', and eventually disinherited her. They were married on 27 February 1937. They had two sons, Charles and Alexander, and two daughters, Caroline and Louise. She devoted her time raising their children while her husband was committed to scientific research. Her husband won the",1,1,
when did Lisa Marie Presley marry Michael?,2006-01-22,day,"Lisa Marie Presley an attempt to reconcile, and that she had traveled to different parts of the world in order to be with him. Presley was engaged in 2000 to rocker John Oszajca. She broke off the engagement after meeting Nicolas Cage at a party. Presley's third marriage was to Cage. They were married on August 10, 2002. Cage filed for divorce after 108 days of marriage, on November 25, 2002, and the divorce was finalized in 2004. The divorce proceeding lasted longer than the marriage. Presley married for a fourth time on January 22, 2006, to Michael Lockwood, her guitarist, music producer",3,1,"2000-07-01,2002-08-10,2004-07-01,2002-11-25,2022-03-20"
"when did Sir Humphrey de Trafford, 4th Baronet marry Cynthia?",1917-10-02,day,"Sir Humphrey de Trafford, 4th Baronet Hilda Evelyn Cadogan, daughter of Henry Arthur Cadogan, Viscount Chelsea and the Hon. Mildred Cecilia Harriet Sturt, on 2 October 1917. They had four daughters: Trafford was an amateur rider and racehorse owner and a member of the Jockey Club and its National Hunt Committee. In 1926, he purchased the Newsells Park Estate, Barkway near Royston, Hertfordshire as a home for his family and established a stud farm there, from which he bred most of his famous racehorses including Alcide who won the 1958 St. Leger Stakes and the 1959 King George VI and Queen Elizabeth Stakes and Parthia, who",10,1,"1959-07-01,1958-07-01,1926-07-01"
when did Steve Wynn marry Andrea?,2011-01-01,year,"Steve Wynn Ferrari in Newport Beach, California, with cash. Kevyn was found unharmed several hours later. Kevyn and Gillian Wynn are mothers who engage in charity work. On April 30, 2011, Wynn married Andrea Danenza Hissom in a ceremony at the Wynn Las Vegas. She is the mother of model and recording artist Nick Hissom and great-niece of Ben Novack, developer of the Fontainebleau Miami Beach Hotel and cousin of Ben Novack Jr. Steve Wynn suffers from the degenerative eye disease, retinitis pigmentosa, which he was diagnosed with in 1971. In 2010, Wynn switched to a vegan diet after watching the documentary",12,1,"2010-07-01,1971-07-01"
when did Prince Oscar Bernadotte marry Ebba?,1888-03-15,day,"Prince Oscar Bernadotte show their support. They were married on 15 March 1888 in St Stephen's Church at Bournemouth in England by the vicar Gustaf Beskow, who was close to the queen, Sofia of Nassau, in the presence of Oscar's mother, Queen Sophia, two of his brothers (Prince Carl, Duke of Västergötland, and Prince Eugen, Duke of Närke), his cousin the Danish crown princess Louise of Sweden, as well as the mother and brother of Ebba. He and his wife were named with new titles as Prince and Princess Bernadotte as of their wedding day. It has never been determined if that was",1,1,
when did Henry Harford marry Esther?,1806-01-01,year,"Henry Harford Pigou, had been in partnership with Benjamin Booth in the tea trade in New York City and was therefore indirectly involved in events leading up to the Boston Tea Party. The couple had five children: Louisa died in 1803. Three years later, in 1806, Harford married Esther Ryecroft. They too had five children: Henry Harford died in 1835. His estates were left to his oldest surviving son, Frederick Paul Harford. Henry Harford’s claim to Maryland was exploited for years after his death in 1835. The last major case was the United States Supreme Court case Morris v. United States (174",1,1,"1835-07-01,1803-07-01"
"when did Denzil Fortescue, 6th Earl Fortescue marry Marjorie?",1920-06-10,day,"Denzil Fortescue, 6th Earl Fortescue El Alamein in 1942. He became a regular attender and occasional speaker at the House of Lords. He lived at the family seat, Ebrington Manor, where he became a successful fruit farmer. He married, firstly, Marjorie Ellinor Trotter, the granddaughter of John Hamilton, 1st Baron Hamilton of Dalzell, on 10 June 1920 and they were divorced in 1941. They had three children: Fortescue married, secondly, Hon. Sybil Hardinge, daughter of Henry Hardinge, 3rd Viscount Hardinge, on 8 August 1941 - she had divorced her first husband Hugh Douglas-Pennant, 4th Baron Penrhyn earlier in 1941. They had one son: The sixth",28,1,"1941-08-08,1942-07-01,1941-07-01"
when did Wenche Barth Eide marry Asbjørn?,1959-10-10,day,"Wenche Barth Eide Norsk Forskning), several years from around 1980. In the 1990s she became a member of the Norwegian Institute of International Affairs (NUPI) (1995–98), and a member of the International Food Policy Research Institute (IFPRI), Washington D.C. (1996-2003). She has been in the Member Board of Trustees of the International Foundation for Science (IFS), since 2008. Wenche Barth Eide Wenche Barth Eide (born 3 January 1935 in Oslo, Norway) is a Norwegian human rights scholar with base in Law and Social Science Research, daughter of civil engineer Jacob Bøckmann Barth (1898-1974) and Solveig Herstad (1900-1987), married October 10, 1959 to human",4,1,"1935-01-03,2022-07-06,2008-07-01"
"when did Prince Maximilian Joseph in Bavaria marry Princess Ludovika, Duchess in?",1828-09-09,day,"Duke Maximilian Joseph in Bavaria Duke Maximilian Joseph in Bavaria Duke Maximilian Joseph in Bavaria (4 December 1808 – 15 November 1888), known informally as Max in Bayern, was a member of a junior branch of the House of Wittelsbach and a promoter of Bavarian folk-music. He is most famous today as the father of Empress Elisabeth of Austria (Sisi) and great-grandfather of King Leopold III of Belgium. Maximilian Joseph was born at Bamberg, the only son of Duke Pius August in Bavaria (1786–1837) and his wife, Princess Amélie Louise of Arenberg. On 9 September 1828, at Tegernsee, Maximilian Joseph married Princess Ludovika of Bavaria,",50,1,"2022-07-06,1808-12-04"
when did Andrew J. Crevolin marry Dolores?,1966-01-01,year,"Andrew J. Crevolin Sister Kenny Rehabilitation Institute and would become chairman of its Southern California Chapter's fund drive committee for expansion of the Sister Kenny Memorial Hospital in El Monte, California. Andrew Crevolin was the owner of the San Dimas Land & Water Company in San Dimas, California where he owned a home and had substantial land holdings, some of which he would develop for residential housing. In December 1964 he was appointed a member at large for the First Supervisorial District on the Los Angeles Watershed Board. Divorced in February 1962 from his third wife, Jane Anne, on September 24, 1966, Andrew",30,1,"1962-02-01,1964-12-01"
when did Dean Martin marry Jeanne?,1949-01-01,year,"Dean Martin the death of Martin's son Dean Paul Martin more than a decade later, helped bring the two men together. They maintained a quiet friendship, but only performed again once, in 1989, on Martin's 72nd birthday. Martin was married three times. His first wife was Elizabeth Anne Betty McDonald, (July 14, 1922 – July 11, 1989) of Ridley Park, Pennsylvania. Martin and McDonald married in 1941 and had four children: Martin and McDonald divorced in 1949 and Dean gained custody of their children. Betty lived out her life in relative obscurity in San Francisco, California. Martin's second wife was Dorothy Jean",8,1,"1989-07-01,1941-07-01,1922-07-14"
"when did William Hamilton, 11th Duke of Hamilton marry Princess Marie Amelie of?",1843-02-23,day,"William Hamilton, 11th Duke of Hamilton At the Mannheim Palace, on 23 February 1843, he married Princess Marie Amélie of Baden, daughter of the Grand Duke Charles of Baden and Stéphanie de Beauharnais, the adopted daughter of Napoleon I. After his marriage he lived chiefly in Paris and Baden, taking very little interest in British affairs. They had three children: Though he had married in 1843, the duke did not succeed to his title until 1852. In that year, he purchased the house located at 22 Arlington Street in St. James's, a district of the City of Westminster in central London from Henry Somerset, 7th Duke",3,1,"1852-07-01,1843-07-01"
when did Kurt Sutter marry Katey?,2004-10-02,day,"Kurt Sutter on to join the cast of the pilot. On May 22, 2015, the pilot was ordered to series with a 10-episode launch to premiere on September 15, 2015, on FX. The series was cancelled after one season. Sutter is currently developing a 6 issue comic book miniseries with Boom! Studios entitled Lucas Stand. The first issue was released on June 1, 2016. He also worked a comic book called Sisters of Sorrow, the book was launched at the 2016 San Diego Comic-Con. Sutter married actress Katey Sagal in a private ceremony on October 2, 2004, at their home in Los",1,1,"2016-06-01,2015-05-22,2015-09-15,2016-07-01"
when did Whitney Duncan marry Keith?,2014-01-01,year,"Whitney Duncan in November 2011. She became engaged to Keith Tollefson on February 14, 2013. The two had begun a relationship on their season of . In May 2014, Duncan appeared on TLC's Say Yes to the Dress, where she chose a wedding dress for her forthcoming nuptials to Tollefson. The two of them were married in July 2014. She and Tollefson, as an engaged couple, raced together on The Amazing Race 25, where they were the fourth team eliminated on the fifth leg of the race after being U-Turned by the mother/daughter team of Shelley and Nici, finishing in eighth place.",1,1,"2011-11-01,2013-02-14"
when did Andrzej Przemysław Zamoyski marry Princess Maria Carolina of Bourbon-Two?,1885-11-19,day,"Andrzej Przemysław Zamoyski Andrzej Przemysław Zamoyski Count Andrzej Przemysław Konstanty Jan Władysław Zamoyski (July 10, 1852 - June 26, 1927) was a Polish aristocrat and landowner. Zamoyski was born in Warsaw, the son of Count Stanisław Kostka Zamoyski (1820-1889) and Róża Marianna Potocka, and the grandson of Count Stanisław Kostka Zamoyski (the 12th Ordynat of the Zamoyski Family Fee Tail) and of Count Przemysław Potocki. He was the owner of estates in Lubowla and Podzamcze. Andrzej Przemysław married Maria Carolina of Bourbon-Two Sicilies, granddaughter of King Francis I of the Two Sicilies, on November 19, 1885 in Paris and had eight children: He",74,1,
when did Sarah Parkinson marry Paul?,2003-06-01,month,"Sarah Parkinson Sarah Parkinson Sarah Jane Parkinson (6 June 1962 – 23 September 2003) was a British producer and writer of radio and television programmes, as well as an occasional actress. She was a regular performer on Week Ending in the latter years of its run. She was the daughter of actor Robin Parkinson and the wife of comedian and writer Paul Merton. Parkinson was diagnosed with breast cancer in February 2002. She and Merton had an unofficial marriage in the Maldives in October 2000 before marrying at Rye Town Hall, East Sussex, in June 2003. After her death, Merton released the",1,1,"2003-09-23,2002-02-01,2000-10-01,1962-06-06"
when did Googoosh marry Behrouz?,1975-01-01,year,"Googoosh 1967. They had a son, Kambiz, who currently lives in Los Angeles and who is also in the music industry. After about six years of marriage, Ghorbani and Googoosh divorced in late 1972. In 1975, Googoosh married Iranian actor Behrouz Vossoughi. They divorced fourteen months later, in 1976. During their brief marriage they were considered to be the country's biggest celebrity power couple. During the late 1970s, Googoosh became involved with Homayoun Mestaghi. She married him in 1979. Several years later in 1985, Googoosh divorced Mestaghi. She then married director Masoud Kimiai in 1991; they divorced in 2005. In 1980,",1,1,"1985-07-01,1967-07-01,1980-07-01,2016-07-06,1976-07-01,1979-07-01,1991-07-01,2005-07-01"
when did Princess Mathilde of Bavaria marry Prince Ludwig of?,1900-05-01,day,"Princess Mathilde of Bavaria (1877–1906) her mother were not close. Some speculate that she only married as an escape from her home. Various candidates were rumored to be engaged to Princess Mathilde at different times. These included, in 1896, the Prince of Naples, but he married Princess Elena of Montenegro later that year. Others included Archduke Franz Ferdinand of Austria, heir to the Austro-Hungarian throne, and Jaime, Duke of Madrid. On 1 May 1900 in Munich, Mathilde married Prince Ludwig of Saxe-Coburg and Gotha, a son of Prince Ludwig August of Saxe-Coburg and Gotha and his wife Princess Leopoldina of Brazil. He was a captain",29,1,1896-07-01
"when did William Ward, 4th Earl of Dudley marry Stella Carcano y?",1946-01-10,day,"William Ward, 4th Earl of Dudley Earl's youngest brother, the Hon. Peter Alistair Ward. Lord Dudley married firstly Stella Carcano y Morra, daughter of Dr. Don Miguel Angel Carcano, who was the Argentine Ambassador to the UK from 1942 to 1946. They married on 10 January 1946 and had three children: Lord and Lady Dudley divorced in 1960. Lord Dudley remarried in Amersham on 24 August 1961. His second wife was Maureen Swanson the Scottish actress and socialite (25 November 1932 – 16 November 2011). Together they had seven children: William Ward, 4th Earl of Dudley William Humble David Ward, 4th Earl of Dudley (5 January",8,1,"1946-07-01,1932-11-25,1942-07-01,2011-11-16,1961-08-24,1960-07-01"
when did Salka Viertel marry Berthold?,1918-01-01,year,"Salka Viertel 1913 to go to Vienna to work on the New Vienna stage. In Vienna, she met her future husband, author and director Berthold Viertel. The two married in 1918. They raised three sons Hans, Peter and Thomas before being divorced in 1947. In 1920, Salka Viertel went to Hamburg to the Great Theater, later to Düsseldorf. Her husband worked from 1920 in Berlin, where he founded the collective theatre Die Troupe and worked for UFA. In 1928, the family went to Hollywood, where Berthold Viertel received a contract with Fox Film Corporation at FW Murnau's instigation as a director and",6,1,"1928-07-01,1947-07-01,1920-07-01,1913-07-01"
when did Elizabeth Harrison Walker marry James Blaine?,1921-04-06,day,"Elizabeth Harrison Walker Elizabeth Harrison Walker Elizabeth Harrison (February 21, 1897 in Indianapolis, Indiana – December 25, 1955 in New York City) was the third of three surviving children of U.S. President Benjamin Harrison, and the only child of his second wife, Mary Scott Lord Dimmick. Born in Indiana in 1897, she graduated from New York University School of Law in 1919 and was admitted to the bar in Indiana and New York. On April 6, 1921, Elizabeth Harrison married James Blaine Walker (January 20, 1889 – January 15, 1978), a grandnephew of Secretary of State James G. Blaine, a member of her",1,1,"1889-01-20,1955-12-25,1919-07-01,1897-07-01"
when did Thom Yorke marry Rachel?,2003-01-01,year,"Thom Yorke Owen married in a secret ceremony in May 2003 in Oxfordshire. In August 2015, the couple announced they had separated amicably after 23 highly creative and happy years. Owen died of cancer on 18 December 2016, aged 48. Yorke is in a relationship with Italian actress Dajana Roncione. Thom Yorke Thomas Edward Yorke (born 7 October 1968) is an English musician best known as the lead singer and main songwriter of the alternative rock band Radiohead. A multi-instrumentalist, he mainly plays the guitar and piano. He is known for his falsetto vocals; in 2008, Rolling Stone ranked him the 66th",7,1,"1968-10-07,2016-12-18,2048-07-01,2015-08-01,2008-07-01"
when did Elizabeth B. Andrews marry George William?,1936-11-25,day,"Elizabeth B. Andrews Springs for the better pay during the Depression. This is where she met her husband, George William Andrews. They married on November 25, 1936 and had two children, Jane and George, Jr. The marriage lasted more than 35 years until his death of complications from heart surgery on December 25, 1971. When her husband first ran for the 78th Congress, she was heavily involved with his campaign. He was reelected to 14 succeeding Congresses and the couple relocated to Washington, DC where Andrews became involved in the Congressional Club and served as vice president in 1971. After her husband's death",22,1,"1971-12-25,1971-07-01"
when did Joan Dillon marry James Brady?,1953-08-01,day,"Joan Dillon on 1 August 1953 James Brady Moseley (New York City, US 22 May 1931 – Boston, Massachusetts, US 9 April 1998), son of Boston investment banker Frederick S. Moseley, Jr. and his wife, Jane H. Brady. The couple divorced in Washoe County, Nevada, US on 12 December 1955; the marriage was annulled in Rome, Italy on 22 June 1963. They had a daughter, She married secondly on 1 March 1967 Prince Charles of Luxembourg (younger son of Charlotte, Grand Duchess of Luxembourg) at the Catholic Church of St. Edward the Confessor in Sutton Park, Surrey, UK. The marriage was the",1,1,"1998-04-09,1967-03-01,1931-05-22,1955-12-12,1963-06-22"
when did Ashwin Sood marry Sarah?,1997-02-07,day,"Ashwin Sood tour with Lava Hay. She asked him to play drums on I Will Not Forget You on her second album, Solace. He has also played drums and produced songs for Bass is Base, Lava Hay and Mae Moore. On February 7, 1997, Sood and McLachlan were married in Negril, Jamaica. Their first daughter, India Ann Sushil Sood, was born on April 6, 2002; their second daughter Taja was born on June 22, 2007. The family lived in West Vancouver, British Columbia, Canada. In September 2008, the couple separated and later divorced. Ashwin Sood Ashwin Sood (born September 25, 1967 in",52,1,"1967-09-25,2002-04-06,2007-06-22,2008-09-01"
when did Clyde Warrior marry Della?,1962-01-01,year,"Clyde Warrior champion fancy dancer in his teens. Newspapers classed him as a world champion dancer by 1957 and in 1958, he won an award in a state-level high school art competition. Warrior attended Cameron Junior College in Lawton, Oklahoma. He earned the Outstanding Indian Student Award in 1962, and he was elected President of the Southwest Regional Indian Youth Council. Later, he earned a Bachelor's degree from Northeastern State University in 1966. In 1962, Warrior married Della Hopper (Otoe-Missouria). The couple had two daughters. In the spring of 1961, Warrior attended a regional planning meeting at the University of Oklahoma in",3,1,"1966-07-01,1957-07-01,1958-07-01"
"when did Sybil Sassoon marry George Cholmondeley, 5th Marquess of?",1913-08-06,day,"Sybil Cholmondeley, Marchioness of Cholmondeley Baroness Aline Caroline de Rothschild (1865–1909) Married on 6 August 1913 to George Cholmondeley, (courtesy) Earl of Rocksavage, later 5th Marquess of Cholmondeley (19 May 1883 – 16 September 1968); they had two sons and one daughter: The Sybil Sassoon gardens at Houghton were opened to the public in 1996. Lady Sybil's grandson, the current marquess, developed the gardens in honour of his grandmother. In 2008, the garden was named Historic Houses Association and Christie's Garden of the Year. In the pool garden, the entwined initials SS are represented in the outlines of the clipped box-hedge which surrounds plantings of",33,1,"1996-07-01,1883-05-19,1968-09-16,2008-07-01"
when did William Godwin marry Mary?,1797-03-29,day,"William Godwin author, this appears to me to be the book. When Godwin and Wollstonecraft were reintroduced in 1796, their respect for each other soon grew into friendship, sexual attraction, and love. Once Wollstonecraft became pregnant, they decided to marry so that their child would be legitimate. Their marriage revealed the fact that Wollstonecraft had never been married to Imlay, and as a result she and Godwin lost many friends. Godwin received further criticism because he had advocated the abolition of marriage in Political Justice. After their marriage at St Pancras on 29 March 1797, they moved into two adjoining houses in",3,1,1796-07-01
when did Steffi Graf marry Andre?,2001-10-22,day,"Steffi Graf Michael Bartels. She started dating Andre Agassi after the 1999 French Open and they married on 22 October 2001, with only their mothers as witnesses. They have two children: son Jaden Gil (born 2001) and daughter Jaz Elle (born 2003). Agassi has said that he and Graf are not pushing their children toward becoming tennis players. The Graf-Agassi family resides in Summerlin, a community in the Las Vegas Valley. Graf's mother and her brother also live there. In 1991, the Steffi Graf Youth Tennis Center in Leipzig was dedicated. She is the founder and chairperson of Children for Tomorrow, a",2,1,"2003-07-01,1999-07-01,2001-07-01,1991-07-01"
when did Corinne Griffith marry George Preston?,1936-01-01,year,"Corinne Griffith but adopted two girls, Pamela and Cynthia. She married actor and frequent co-star Webster Campbell from 1920 to 1923, producer Walter Morosco from 1924 to 1934, and George Preston Marshall from 1936 to 1958. During her marriage to Marshall, she composed the lyrics to the Redskins fight song Hail to the Redskins which became one of the most famous football anthems. In 1966, within a few days, she married and divorced her fourth husband, Broadway actor Danny Scholl (Call Me Mister). Scholl was 45, more than 25 years Griffith's junior. In court she testified that she was not Corinne Griffith.",15,1,"1958-07-01,1934-07-01,1924-07-01,2045-07-01,1923-07-01,1966-07-01,1920-07-01"
when did Lisa Armstrong marry Anthony?,2006-01-01,year,"Lisa Armstrong (make-up artist) decided to continue on a new label and O'Keefe was replaced by Amanda Perkins, for one single, before they disbanded. She then chose to train as a make-up artist, writing a column for Cosmopolitan magazine before becoming the make-up artist for many British television shows such as The X Factor, Britain's Got Talent and many of Ant & Dec's shows. Armstrong was also the make-up expert on This Morning, giving makeovers and short make-up tutorials. She is now head of make-up and hair for BBC One's Strictly Come Dancing. On 22 July 2006 Armstrong married her longtime boyfriend Anthony McPartlin",3,1,
when did Stan Shaffer marry Louise?,2008-01-01,year,"Stan Shaffer Stan Shaffer Stanley Howard Shaffer (1944–10 June 2010) was a contemporary American fashion photographer. He shot for Vogue, Interview, Bloomingdale's, and Victoria's Secret. Celebrity subjects included David Kennedy, Halston, Mariel Hemingway, and Andy Warhol. Other subjects included actresses and models, such as Carla Bruni, Janice Dickinson, Patti Hansen, Jerry Hall, Uma Thurman, and Rachel Ward and performers such as Louise Robey (whom he married in 2008), Pete Townshend, and John Phillips with Geneviève Waïte. As a filmmaker, his short films won awards internationally. Shaffer was born in Brooklyn, New York, in 1944. He also grew up in rural Illinois. Shaffer",36,1,1944-07-01
when did Geoffrey Midgley marry Mary?,1950-01-01,year,"Geoffrey Midgley Geoffrey Midgley Geoffrey Charles John Midgley (Ilford, Essex, 14 June 1921 – Newcastle, 16 April 1997) was a British philosopher. Midgley had won a classical scholarship to Oxford, but served four years as a radar engineer in the RAF during the Second World War. After the war he completed the PPE course at New College, Oxford and studied under Isaiah Berlin and Gilbert Ryle. Since 1949 he worked at the Department of Philosophy, Newcastle University, as lecturer and senior lecturer (1949-1986), and as head of department (1982-1986). In 1950 he married a fellow philosopher, Mary Scrutton, with whom he raised",73,1,"2018-07-06,1997-04-16,1921-06-14,1949-07-01"
