question,answer,precision,dpr_answer,rank,filtered_rank
when did John Eaton marry Margaret O\'Neill?,1829-01-01,year,"""John Eaton (politician)"" Peggy O'Neill Timberlake (1799–1879) in 1829, while serving in the Senate. She was the mother of three children; a son William, who died as an infant, and daughters Virginia and Margaret. Eaton had been a longtime friend of Peggy Timberlake and her husband John B. Timberlake, and John Timberlake had died only a few months before Eaton married his widow. Jackson knew and liked Peggy Eaton, and though it would have been considered proper to wait until a longer mourning period had passed, Jackson encouraged Eaton to marry her, telling him """"Why yes, Major. If you love the woman, and",75,1
when did Gerald Rudolff Ford marry Dorothy Ayer Gardner?,1917-01-01,year,"""Gerald Rudolff Ford"" Company when he met the future President's mother Dorothy Ayer Gardner King. Dorothy had fled to Michigan from Omaha, Nebraska in 1913, 16 days after the President's birth, claiming that her husband (and her son's birth father), Leslie Lynch King, Sr., had physically abused her. She came to Grand Rapids to be near her parents, Levi Addison Gardner and Adele Augusta Ayer Gardner, who lived in the town. The couple married on February 1, 1917 following Dorothy's divorce from King when the future President was three and began calling Dorothy's first son """"Gerald."""" Gerald Rudolff Ford and Dorothy Ford had",3,1
when did William Beetham marry Mary?,1835-06-25,day,"""William Beetham"" Te Rū exhibition included items from both private and public collections and showcased notable portraits of Chief Wi Tako and of his daughter, which had not previously been seen publicly. Te Āti Awa gifted the Te Rū piece of the exhibition title. William Beetham married Mary Horsley at St Georges Parish Church, Doncaster on 25 June 1835. They had ten children together and thirty-two grandchildren. They lived firstly in Hexthorpe near Doncaster before moving to Prospect Street, Horncastle, Lincolnshire and then onto Frimley Hill, Ash Vale, Surrey. From there they emigrated with their family to New Zealand, settling at Te",15,1
when did Olive Custance marry Lord Alfred?,1902-03-04,day,"""Olive Custance"" Custance became engaged to George Montagu, who had been at school with Douglas. It was a short engagement because when Douglas returned from a trip to the USA (where, as he had written to her teasingly, he was looking for a rich heiress to marry) the two of them ran away and married each other on 4 March 1902. Custance's father did not approve of Douglas. They had one child, Raymond Wilfred Sholto Douglas, born on 17 November 1902. The marriage was stormy after Douglas became a Roman Catholic in 1911. They began to live apart in 1913, after the",1,1
when did Edward Francis Hutton marry Marjorie Merriweather?,1920-01-01,year,"""Edward Francis Hutton"" Blanch and Edward had one son: He married his second wife, General Foods heiress, Marjorie Merriweather Post, in 1920. During their marriage (1920–1935) they built Mar-a-Lago in Palm Beach, Florida; and also commissioned the largest privately-owned seagoing yacht of the era, the """"Hussar V"""", which is best known as the """""""". The Huttons divorced in 1935 after evidence of Hutton's affairs with other women became known to Marjorie. Together they had one child: In February 1936, at age 60, he married twenty-eight-year-old Dorothy Dear Metzger, who had just divorced her husband, Homer, the previous October. E.F. met Dorothy through Marjorie's",1,1
when did Sumeet Saigal marry Farah?,2007-01-01,year,"""Sumeet Saigal"" the film industry. After 12 years out of the limelight, he directed the music video for a song featured in the film """""""" in 2007. In 2010, he produced the horror film """"Rokkk"""", starring Udita Goswami and Tanushree Dutta. Currently, he has a production company named """"Sumeet Arts"""", which dubs South Indian films into Hindi. Sumeet was married to Shaheen, the niece of actress Saira Banu from 1990 to 2003. He and Shaheen have one daughter named Sayyeshaa, who is a film actress and made her debut in 2015. Sumeet later married actress Farah Naaz in the year 2003. Sumeet",3,1
when did Alexandru Ioan Cuza marry Elena?,1844-01-01,year,"""Alexandru Ioan Cuza"" (or Soltana), a member of the Cozadini family of Phanariote origins. Alexander received an urbane European education, becoming an officer in the Moldavian Army (rising to the rank of colonel). He married Elena Rosetti in 1844. In 1848, known as the year of European revolutions, Moldavia and Wallachia fell into revolt. The Moldavian unrest was quickly suppressed, but in Wallachia the revolutionaries took power and governed during the summer (""""see 1848 Wallachian revolution""""). Young Cuza played a prominent enough part so as to establish his liberal credentials during the Moldavian episode and to be shipped to Vienna as a prisoner,",10,1
when did Orson Bean marry Carolyn?,1965-01-01,year,"""Orson Bean"" therapy developed by Austrian-born psychoanalyst Wilhelm Reich. Published in 1971, the account is titled """"Me and the Orgone: The True Story of One Man's Sexual Awakening"""". He has been married three times. His first marriage was in 1956 to actress Jacqueline de Sibour, whose stage name was Rain Winslow and who was the daughter of the French nobleman and pilot Vicomte Jacques de Sibour and his wife, Violette B. Selfridge (daughter of British department-store magnate Harry Gordon Selfridge). Before their divorce in 1962, Bean and Jacqueline had one child, Michele. In 1965, he married fashion designer Carolyn Maxwell with whom",1,1
when did Orson Bean marry Carolyn?,1965-01-01,year,"""Orson Bean"" tone of the show, and he became the show's master of ceremonies (""""Dr. Orson Bean"""") for its final season. Bean was a frequent guest on """"The Tonight Show"""" (with both Jack Paar and Johnny Carson), and appeared on game shows originating from New York. He was a regular panelist on """"To Tell the Truth"""" in versions from the late 1950s through 1991. On July 5, 1965, his father appeared as a subject of the panel and he had to disqualify himself from participating. Apparently no one knew his real name was Burrows as Kitty Carlisle humorously admitted in her questioning.",3,2
when did Lindsey Vonn marry Thomas?,2007-09-29,day,"""Lindsey Vonn"" Mountain, forcing her to pull out of the Lake Louise races. Vonn has enjoyed a significant amount of media attention for an alpine skier, making her the face of her sport in the US. She has appeared on """"The Today Show,"""" """"Access Hollywood,"""" and """"The Late Show with David Letterman"""" and has picked up endorsements from notable companies such as Head, Oakley, Red Bull, Rolex, and Under Armour. In 2010, her assets were estimated to be worth over 2.5 million dollars. Vonn married fellow 2002 Olympian and former U.S. Ski Team athlete Thomas Vonn on September 29, 2007, at the",20,1
when did Mike Tindall marry Zara?,2011-07-30,day,"""Mike Tindall"" of their 2013 tour to Australia. On 21 December 2010, it was announced that Tindall was engaged to Zara Phillips, only daughter of Anne, Princess Royal and her first husband Captain Mark Phillips. Phillips is the granddaughter of Queen Elizabeth II and Prince Philip, Duke of Edinburgh. The couple first met during the 2003 Rugby World Cup in Australia. As required by the Royal Marriages Act 1772, since repealed, the Queen gave her consent to their marriage in a meeting of the Privy Council on 10 May 2011. The wedding was held on 30 July 2011 at Canongate Kirk in",1,1
when did Lily Tomlin marry Jane?,2013-12-31,day,"""Lily Tomlin"" After watching the after-school TV special """"J.T."""" written by Wagner, Tomlin invited Wagner to Los Angeles to collaborate on Tomlin's comedy LP record album """"And That's The Truth"""". The couple did not have a formal coming out. Tomlin said in 2006: Tomlin stated in 2008, """"Everybody in the industry was certainly aware of my sexuality and of Jane...in interviews, I always reference Jane and talk about Jane, but they don't always write about it."""" On December 31, 2013, Tomlin and Wagner married in a private ceremony in Los Angeles after 42 years together. Tomlin has been involved in a number",33,1
when did Donald Trump Jr. marry Vanessa?,2005-11-12,day,"""Donald Trump Jr."" the picture of Cooper was around ten years old, taken during 2008's Hurricane Ike before Trump became president, and Cooper was videoed talking about how the floodwaters were receding. In 2003 Trump Jr. began dating model Vanessa Kay Haydon at his father's suggestion. The couple married on November 12, 2005 at his father's Mar-a-Lago estate in Palm Beach, Florida; the service was officiated by Trump Jr.'s aunt, Judge Maryanne Trump Barry. Haydon's grandfather was Danish jazz musician Kai Ewans. They have five children. On March 15, 2018, it was announced that the couple had separated and that she had filed",4,1
when did Carolyn Marks Blackwood marry Greg?,2017-04-01,month,"""Carolyn Marks Blackwood"" She was also an executive producer on the film Philomena, which was nominated for four Oscars in 2013. Since 2009, her work as a photographer has been favorably recognized by various critics, including noted contemporary art critic, historian and curator Barbara Rose. Carolyn Marks was born in Anchorage, Alaska in 1951 to Edwin and Nancy Marks. She has one child with former spouse Anthony Mulcahy, and was married to the late documentary film director, Christian Blackwood until his death in July 1992. She has been in a relationship with Greg Quinn since 1997 whom she married in April 2017. Blackwood",4,1
when did Revathi marry Suresh Chandra?,1986-01-01,year,"Revathi a major in the Indian Army who hails from Kalladikkod, Palakkad, and Lalitha Kelunni. Malayalam actress Geetha Vijayan is her cousin. Revathi married cinematographer and director Suresh Chandra Menon in 1986. The couple didn't have any children. However following differences between them, they started living separately from 2002 and were granted divorce on 23 April 2013 by Chennai Additional Family Court. As of 2018, she revealed that she has a five-year old biological daughter named Mahee through In Vitro Fertilisation. In order of languages in which she acted the most to least number of films. Revathi She has won several",1,1
when did Yasmine Pahlavi marry Reza?,1986-06-12,day,"""Yasmine Pahlavi"" and any affiliation with the Foundation on 11 February 2014. On 27 November 2018, she announced that she is struggling with breast cancer. Yasmine married Reza Pahlavi on 12 June 1986, and the couple has three daughters: The family lives in exile in the United States. Princesses Noor and Iman are attending universities in the United States, and Princess Farah is enrolled in secondary school in the United States. Yasmine Pahlavi has been a vocal supporter of the democracy movement in Iran, appearing at several pro-democracy rallies occurring after the 2009 election upheaval and Persian Awakening in Iran. Yasmine Pahlavi",1,1
when did Natalia Kukulska marry Michał?,2000-01-01,year,"""Natalia Kukulska"" and the late composer Jarosław Kukulski, who also wrote songs for Irena Jarocka, Krzysztof Krawczyk, Eleni and many more. She married musician Michał Dąbrówka in February 2000. They were dating since 1990. Kukulska and Dąbrówka live in Komorów near Warsaw. Their first child, Jan Dąbrówka, was born on June 24, 2000. He was named after Michał Dąbrówka's grandfather. On May 4, 2005 she gave birth to her second child and first daughter, Anna Dąbrówka. The girl was named after Natalia's mother. Kukulska's maternal grandmother, Halina Szmeterling, took care of her after her mother's tragic death. Mrs. Szmeterling lived with her",2,1
when did Jane Morris marry William?,1859-04-26,day,"""Jane Morris"" Jane married William Morris at St Michael at the Northgate in Oxford on 26 April 1859. Her father was described as a groom, in stables at 65 Holywell Street. After the marriage, the Morrises lived at Red House in Bexleyheath, Kent. While living there, they had two daughters, Jane Alice """"Jenny,"""" born in January 1861, and Mary """"May"""" (March 1862–1938), who later edited her father's works. They moved to 26 Queen Square in London, which they shared with the design firm of Morris, Marshall, Faulkner & Co., and later bought Kelmscott House in Hammersmith as their main residence. In 1871,",1,1
when did Joseph C. Wilson marry Valerie?,1998-01-01,year,"""Joseph C. Wilson"" in 1974 (""""The Politics of Truth"""" 33). In 1979, the couple had a set of twins, Sabrina Cecile and Joseph Charles V. The marriage ended in an amicable divorce in 1986, toward the end of his service in Burundi. Wilson married his second wife Jacqueline, a French diplomat, raised in Africa, in 1986 (86–89). Though Wilson and Jacqueline began to live separate lives in the 1990s, they did not divorce until 1998 because Wilson """"was never in one place long enough to complete the process"""" (242). Wilson had met Valerie Plame in 1997, while working for President Bill Clinton; they",45,1
when did Olivier Assayas marry Maggie?,1998-01-01,year,"""Olivier Assayas"" biggest hit to date has been """"Irma Vep"""", starring Hong Kong star Maggie Cheung, which manages to be a tribute both to French director Louis Feuillade and to Hong Kong cinema. While working at """"Cahiers du cinéma"""", Assayas wrote lovingly about European film directors he admires but also about Asian directors. One of his films, """"HHH: A Portrait of Hou Hsiao-hsien"""", is a documentary about Taiwanese filmmaker Hou Hsiao-hsien. He married Hong Kong movie actress Maggie Cheung in 1998. They divorced in 2001, but their relationship remained amicable, and in 2004 Cheung made her award-winning film """"Clean"""" with him. He",1,1
when did Olivier Assayas marry Maggie?,1998-01-01,year,"""Olivier Assayas"" met actress-director Mia Hansen-Løve when Hansen-Løve, seventeen at the time, starred in Assayas's 1998 feature """"Late August, Early September"""", but """"[they] didn't get together until [she] was 20"""". They separated in 2017. He directed and co-wrote the acclaimed 2010 French television miniseries """"Carlos"""", about the life of the terrorist Ilich Ramírez Sánchez. Venezuelan actor Édgar Ramírez won the César Award for Most Promising Actor in 2011 for his performance as Carlos. In April 2011, it was announced that he would be a member of the jury for the main competition at the 2011 Cannes Film Festival. His 2012 film, """"Something",48,2
when did Porsha Williams marry Kordell?,2011-01-01,year,"""Porsha Williams"" """"it just was in my blood to want to own something for myself"""" given her parents' careers. In 2005, Williams modeled for a """"pin-up"""" calendar for the Atlanta Dymes. Williams began dating football player Kordell Stewart while she was employed at the Luckie Lounge in Atlanta, Georgia. The couple married in an elaborate ceremony in May 2011, which was filmed and broadcast for the WE tv television series """"Platinum Weddings"""". Through the marriage, she became the stepmother to his minor-aged son Syre from his previous relationship with Tania Richardson. In September 2012, it was announced by Bravo that Williams and",2,1
when did Belinda Carlisle marry Morgan?,1986-01-01,year,"""Belinda Carlisle"" the Stooges' """"Raw Power"""" in a record store, an album which she credited as a gateway exposing her to punk and art rock acts such as the Velvet Underground, New York Dolls, Roxy Music, and the Sex Pistols. In a 2013 interview, Carlisle stated that despite having recorded an abundance of it throughout her career, she """"didn't really listen to pop music,"""" and had recently been inspired by jazz artists such as Miles Davis. In 1986, Carlisle married political operative and film producer Morgan Mason, son of actor James Mason. He made appearances in Carlisle's music videos """"Mad About You""""",75,1
when did Prince Wilhelm of Baden marry Princess Maria Maximilianovna of?,1863-02-11,day,"""Prince William of Baden (1829–1897)"" he was a member of the German Imperial Party () (also known as the Free Conservative Party). Wilhelm married Princess Maria Maximilianovna of Leuchtenberg, Princess Romanovskaja, eldest surviving daughter of Maximilian de Beauharnais, 3rd Duke of Leuchtenberg and his wife Grand Duchess Maria Nikolaevna of Russia, on 11 February 1863 in Saint Petersburg, Russian Empire. Upon learning of the marriage, United States President Abraham Lincoln sent a letter to Wilhelm's elder brother Frederick I, Grand Duke of Baden in which Lincoln stated: """"I participate in the satisfaction afforded by this happy event and pray Your Royal Highness to accept my",2,1
"when did Bruce Murray, 12th Duke of Atholl marry Lynne?",1984-02-04,day,"""Bruce Murray, 12th Duke of Atholl"" 1979. He was educated at Saasveld Forestry College before serving his two years' National Service with the South African Infantry Corps. He is currently a volunteer member of the Transvaal Scottish Regiment, holding the rank of lieutenant. Previously he managed a tea plantation, but then ran a signage business producing signs for commercial buildings. He was commissioned into the Atholl Highlanders in 2000, being appointed as lieutenant colonel. Upon the death of his father on 15 May 2012, he succeeded to all his father's titles, becoming the 12th Duke of Atholl. The Duke first married on 4 February 1984 in",3,1
when did Barnard Hughes marry Helen?,1950-01-01,year,"""Barnard Hughes"" Stenborg. They married on April 19, 1950, and remained married until his death. Hughes was five days shy of his ninety-first birthday when he died. The Hugheses had two children, the theatre director Doug Hughes, and a daughter, Laura. Hughes and his wife are interred at Church of the Transfiguration, Episcopal (Manhattan) in New York City. Hughes changed the """"e"""" in his first name to an """"a"""" to help his acting career on the advice of a numerologist. Through high school and college, Hughes worked a series of odd jobs, including a stint as a dockworker and as a salesman",2,1
when did John Simm marry Kate?,2004-01-01,year,"""John Simm"" filmed at Sunset Bronson studios and on location around Los Angeles. Simm played the character of Rhys Griffiths, a recurring character in Season 1 and a regular in Season 2. On 6 April 2017, the BBC confirmed that Simm would be reprising his role as the Master in the tenth series of """"Doctor Who""""; he appears in the two-part finale, """"World Enough and Time"""" / """"The Doctor Falls"""". In April 2004, Simm married actress Kate Magowan in the Forest of Dean; they have a son and a daughter. He is a supporter of Manchester United. and a self confessed """"Beatles",90,1
when did Carl Mayer von Rothschild marry Adelheid?,1818-01-01,year,"""Carl Mayer von Rothschild"" age twenty-nine when he acquired a modest residence at 33 Neue Mainzer Strasse in Frankfurt am Main in preparation for his marriage on September 16, 1818 to Adelheid Herz (1800–1853). They would have the following children: Wanting to expand the family business across Europe, the eldest Rothschild son Amschel remained in Frankfurt, while each of the other sons were sent to different European cities to establish a banking branch. The 1821 occupation of Naples by the Austrian army provided the opportunity for the Rothschilds to set up business in the Kingdom. Carl Rothschild was therefore sent to Naples where he",55,1
"when did Wentworth Beaumont, 2nd Viscount Allendale marry Violet?",1921-07-20,day,"""Wentworth Beaumont, 2nd Viscount Allendale"" in 1915. From 1918 to 1919 he was an Acting Major while commanding a company. Allendale succeeded his father in the viscountcy in 1923 was a Lord in Waiting between 1931 and 1932 in Ramsay MacDonald's ministry. From 1949 to 1956 he served as Lord-Lieutenant of Northumberland. In 1951, he was awarded an honorary doctorate of Civil Law from the University of Durham. On 20 July 1921 at St Martin-in-the-Fields Lord Allendale married Violet Lucy Emily Seely, daughter of Sir Charles Seely, 2nd Baronet, by whom he had six children: Wentworth Beaumont, 2nd Viscount Allendale Wentworth Henry Canning Beaumont, 2nd",12,1
when did Francis Bradley Bradley-Birt marry Lady Norah?,1920-12-01,day,"""Francis Bradley Bradley-Birt"" the Archaeological service, and this formed the basis for some of his non-fiction work. He wrote under his own name and under the pseudonym """"Shelland Bradley."""" Ramananda Chatterjee credited Bradley-Birt with """"resuscitating"""" the literary study of Henry Louis Vivian Derozio. Bradley-Birt married (1 December 1920) Norah Spencer-Churchill, daughter of George Spencer-Churchill, 8th Duke of Marlborough (she was, therefore, a cousin of Winston Churchill). Bradley-Birt owned a property known as Birtsmorton Court, which he acquired from his uncle, F. R. Bradley-Birt, who bought it in 1911, re-uniting it with the neighboring property of Berrow, which was already under his ownership. Francis",1,1
when did Clarita Vidal marry E. G.?,1909-01-01,year,"""Clarita Vidal"" the stage. Her Broadway appearances included roles in """"The Silver Slipper"""" (1902-1903) and """"Cynthia"""" (1903). In London, she was seen in """"The New Regime"""" (1903), """"The School Girl"""" (1903), and """"His Highness, My Husband"""" (1904). """"All the beauties of the day were in """"The School Girl"""","""" recalled actress Billie Burke. """"I remember Clarita Vidal, famous and smick-smack, who posed as if she were made of wax, with just one expression of sheer beauty."""" She married in 1909 and left the stage, but reappeared in the news by late 1915 as """"Mme. Daisy Mazzuchi"""" or """"Countess Chiquita 'Chick' Mazzuchi"""", working as",5,1
"when did Prince Antoine, Duke of Montpensier marry Infanta Luisa Fernanda, Duchess of?",1846-10-10,day,"""Antoine, Duke of Montpensier"" Antoine, Duke of Montpensier Antoine d'Orléans (Antoine Marie Philippe Louis d'Orléans; 31 July 18245 February 1890) was a member of the French royal family in the House of Orléans. He was the youngest son of King Louis Philippe of France and his wife Maria Amelia Teresa of the Two Sicilies. He was styled as the Duke of Montpensier. He was born on 31 July 1824 at the château de Neuilly and died 4 February 1890 at Sanlúcar de Barrameda, Spain. On 10 October 1846 at Madrid, Spain, he married Infanta Luisa Fernanda of Spain, the daughter of King Ferdinand VII",3,1
"when did Nina Douglas-Hamilton, Duchess of Hamilton marry Alfred Douglas-Hamilton, 13th Duke of?",1901-12-04,day,"""Nina Douglas-Hamilton, Duchess of Hamilton"" Scotland, was a gift to the villagers by the Duke and Duchess of Hamilton and was formally opened on 24 September 1910. Nina Douglas-Hamilton, Duchess of Hamilton Nina Mary Benita Douglas-Hamilton, Duchess of Hamilton (née Nina Mary Benita Poore; 13 May 1878 – 12 January 1951), was a British peeress and animal activist. Douglas-Hamilton was born on 13 May 1878 in Nether Wallop, the daughter of Major Robert Poore and Juliana Benita Lowry-Corry. Her brother, Robert Poore, married Flora Douglas-Hamilton, and three years later on 4 December 1901, Nina married Flora's brother Alfred Douglas-Hamilton, 13th Duke of Hamilton, at the",1,1
"when did Nina Douglas-Hamilton, Duchess of Hamilton marry Alfred Douglas-Hamilton, 13th Duke of?",1901-12-04,day,"""Nina Douglas-Hamilton, Duchess of Hamilton"" Nina Douglas-Hamilton, Duchess of Hamilton Nina Mary Benita Douglas-Hamilton, Duchess of Hamilton (née Nina Mary Benita Poore; 13 May 1878 – 12 January 1951), was a British peeress and animal activist. Douglas-Hamilton was born on 13 May 1878 in Nether Wallop, the daughter of Major Robert Poore and Juliana Benita Lowry-Corry. Her brother, Robert Poore, married Flora Douglas-Hamilton, and three years later on 4 December 1901, Nina married Flora's brother Alfred Douglas-Hamilton, 13th Duke of Hamilton, at the parish church, Newton Tony. The couple had four sons and three daughters: Douglas-Hamilton was very proud of her father's work in helping",2,2
when did Julianne Phillips marry Bruce?,1985-01-01,year,"""Julianne Phillips"" end of then-husband Bruce Springsteen's music video """"Glory Days"""". Phillips garnered publicity as the girlfriend, and later the first wife, of musician Bruce Springsteen. The two met in October 1984, and they were married in her native Lake Oswego shortly after midnight on Monday, May 13, 1985, surrounded by intense media Citing irreconcilable differences, she filed for divorce in August 1988, which was finalized the following Phillips continued her acting career during and after the marriage. She appeared in """"Odd Jobs"""" (1986), """"Sweet Lies"""" (1988), and """"Seven Hours to Judgment"""" (1988), and starred opposite Chevy Chase in """"Fletch Lives"""" and",1,1
when did Miyū Yamamoto marry Nobuyasu?,1995-01-01,year,"""Miyuu Yamamoto"" ever in history. After that she won the world championships in 1994 and 1995. In 1994 she participated in the All Japan Women's Pro-Wrestling Tokyo Dome competition with Kyoko Hamaguchi. In 1995 she married Nobuyasu Ikeda at the J.League Urawa Red Diamonds (former) and retired from active service. After that, she gave birth to her first child (Arsen Yamamoto). But in April 1999, they divorced. In 1999 she temporarily returned to active service, temporarily entered the Queen's Cup Final, won the Asian Championships and won the All Japan Women's Wrestling Championship, but in July 2000 she remarried to Enson Inoue,",10,1
when did Nadine de Rothschild marry Edmond Adolphe de?,1963-01-01,year,"""Nadine de Rothschild"" Adolphe de Rothschild of the French branch of the Rothschild family. At the time, Edmund was chairman and principal owner of the Edmond de Rothschild Group, a private banking group headquartered in Geneva, Switzerland. Although she was raised Roman Catholic, she converted to Judaism stating: """"It would not have been possible to have the name Rothschild and be a Catholic... Nor would it be right for the son of a Rothschild to be half-Jewish and half-Catholic."""" They had one son born in 1963, Benjamin de Rothschild, shortly after their marriage. Lhopitalier used the noble title of her husband (Baroness), issued",2,1
when did Rodney Kendrick marry Rhonda Ross?,1996-01-01,year,"""Rodney Kendrick"" Rhonda. On several tracks, Dewey Redman played saxophone. Rodney has produced several albums, including a solo piece titled """"Thank You"""" (2002), a duo-piano piece with his mentor Randy Weston, an album with his wife titled """"Rhonda Ross Live: Featuring Rodney Kendrick"""" (2002), as well as a project with his father, Jimmy Kay, entitled """"Black is Back"""" (2006). Kendrick has been married to Rhonda Ross Kendrick since September 13, 1996. On August 7, 2009, their son, Raif-Henok Emmanuel Kendrick was born. Rodney Kendrick Rodney Kendrick (born April 30, 1960) is an American jazz pianist, bandleader, composer, and producer. He has been",3,1
when did Amy Acker marry James?,2003-04-25,day,"""Amy Acker"" a regular character starting in the series' third season. Starting with the series' 100th episode, Acker took on the voice role of the Machine. In the series finale, she also appeared as the visual manifestation of the Machine. In March 2017, Acker was cast as Caitlin Strucker in the pilot for the prospective FOX television series """"The Gifted"""", which was picked up to series in May 2017. The Gifted began airing on October 2, 2017, with first season running for 13 episodes. On April 25, 2003, Acker wed actor James Carpinello in California. They have a son, born in 2005,",68,1
when did Josephine Butler marry George?,1852-01-01,year,"""Josephine Butler"" shared with his wife a commitment to liberal reforms and a love of Italian culture. The couple also both had a strong Christian belief and Josephine Butler later wrote of her husband that they often """"prayed together that a holy revolution might come about and that the Kingdom of God might be established on the earth"""". In November 1852 the Butlers had a son, George Grey Butler, followed by a second, Arthur Stanley—known as Stanley—in May 1854. Butler's later memories of Oxford were of a closeted and misogynist community lacking in family life; she was often the only female at",44,1
when did Kevin Sorbo marry Sam?,1998-01-05,day,"""Kevin Sorbo"" the aneurysm, left Sorbo with a permanent 10 percent vision loss, weakness, impaired balance, and migraines. In his 2011 autobiography """"True Strength"""", Sorbo revealed the details of his injury and how his wife Sam helped him recover. On January 5, 1998, Sorbo married actress Sam Jenkins, whom he met the previous year when she had a guest role on """"Hercules"""". They have three children: Braedon Cooper (born 2001), Shane Haaken (born 2004), and Octavia Flynn (born 2005). Sorbo is the spokesman and chair of A World Fit for Kids! (AWFFK!), a non-profit organization that trains teenagers to become mentors to",3,1
"when did Richard Butler, 17th Viscount Mountgarret marry Gillian Margaret?",1960-05-20,day,"""Richard Butler, 17th Viscount Mountgarret"" maternal first cousin who holds a strong claim through her fathers’ family lineage. Lord Mountgarret married three times. His first wife was Gillian Margaret Buckley, daughter of Cyril Francis Stewart Buckley and Audrey Burmester, on 20 May 1960 but divorced in 1970. The couple had two sons and a daughter: Mountgarret later married Jennifer Susan Wills, a member of the Wills tobacco family, daughter of Capt. DM Wills, on 29 April 1970, but divorced in 1983. He finally married Angela Ruth Porter, eldest daughter of Major Thomas Porter, on 25 May 1983. Richard Butler, 17th Viscount Mountgarret Richard Henry Piers",2,1
when did Kate Levering marry Reza?,2013-01-01,year,"""Kate Levering"" series """"Drop Dead Diva"""". Levering also has starred in independent films: """"Like Dandelion Dust"""" in 2009, and """"Breaking the Girls"""" in 2012. In 2016, Levering was cast as the adult Annette Hargrove in the NBC drama """"Cruel Intentions"""", based on the 1999 film of same name. The role was played by Reese Witherspoon in the film. Levering married businessman Reza Jahangiri on April 20, 2013 at The Beverly Hills Hotel. Their son, Holden Robert Jahangiri, was born in July 2013. Kate's pregnancy was written into her role on """"Drop Dead Diva"""". In March 2016, Levering announced that she had a",1,1
when did Vera Wang marry Arthur?,1989-01-01,year,"""Vera Wang"" fashion as well, micro work, a centimeter of proportion and then it's macro to see what a vision is on the red carpet."""" In 1989, she married Arthur Becker in an interfaith Baptist and Jewish ceremony. They resided in Manhattan with their two adopted daughters: Cecilia (born 1990), who currently lives in New York City, and Josephine (born 1993), who attended The Chapin School and currently attends Harvard University. Becker was the CEO of the information technology services company NaviSite until August 2010. In July 2012, Vera Wang Co. announced that the couple had separated. The separation was amicable. Vera",1,1
when did Marie Vassiltchikov marry Robert Graham?,1946-01-28,day,"""Marie Vassiltchikov"" unit. On 28 January 1946 Princess Marie Vassiltchikov married U.S. Army Captain Peter Graham Harnden of Military Intelligence (born in London on 9 April 1913). They settled in Paris, where Harnden opened an architectural firm. After Harnden died in Cadaqués on 15 October 1971, she moved to London. After her husband's death, she bowed to the wishes of friends and relatives who had been encouraging her to publish her wartime diaries. She died in London of leukemia on 12 August 1978. At the time, the task of editing and polishing her diaries was still incomplete; this task was completed by",1,1
"when did William Edgcumbe, 4th Earl of Mount Edgcumbe marry Lady Katherine?",1858-10-26,day,"""William Edgcumbe, 4th Earl of Mount Edgcumbe"" office held by the head of a Provincial Grand Lodge. In early 1901 Lord Mount Edgcumbe was appointed by King Edward to lead a special diplomatic mission to announce the King´s accession to the governments of Belgium, Bavaria, Italy, Württemberg, and the Netherlands. During his visit to the Belgian court in March 1901, King Leopold presented him with the Grand Cordon of the Order of Leopold. Lord Mount Edgcumbe married firstly, Lady Katherine Hamilton, daughter of James Hamilton, 1st Duke of Abercorn, on 26 October 1858. They had four children: After Lady Katherine's death in September 1874 Lord Mount Edgcumbe",3,1
when did Ursula Hirschmann marry Eugenio?,1935-01-01,year,"""Ursula Hirschmann"" Eugenio Colorni, a young Italian philosopher and socialist whom they had already met in Berlin. She continued on to Trieste, the home town of Colorni, where she married him in 1935. They had three daughters: Silvia, Renata, and Eva (who, in 1973, married the Indian economist Amartya Sen). The couple became engaged in the clandestine anti-fascist opposition. In 1939, Eugenio was arrested and sent to confinement on the island of Ventotene. Ursula followed her husband there, but as she was not herself held in confinement, she could travel back to the mainland. Among the other prisoners and friends of Eugenio",1,1
when did Jean Brooks marry William Douglas?,1946-01-01,year,"""Jean Brooks"" Los Angeles. In 1946, Brooks met newly returned Marine Corps veteran, William Douglas Lansford, and they married. The marriage lasted 10 years, most of which were spent while Lansford was back in the armed forces (Army) and they were stationed at various bases in the U.S. It was a happy time for her while she formed amateur theater groups and worked in productions along with her husband, who was a writer, at the various places they were stationed. However, Brooks's alcoholism persisted. Lansford, too, was a heavy drinker and soon it overwhelmed the marriage. They were divorced in 1956 and",18,1
when did Jean Brooks marry William Douglas?,1946-01-01,year,"""Jean Brooks"" public. By 1946, Brooks's struggles with alcoholism and her disheveled public appearances resulted in friction with RKO executives, and Brooks reportedly tore up her contract before they could fire her. Film historian Doug McClelland referred to Brooks as """"RKO's resident neurotic"""" based on her behavior while working for the studio. Her final film with RKO was the war drama """"The Bamboo Blonde"""", released in July 1946. Two years later, Brooks made her final screen appearance in the William Rowland-directed exploitation drama """"Women in the Night"""" (1948). Brooks married screenwriter Richard Brooks in 1941; they divorced on September 13, 1944 in",23,2
